id,distance,latitude,longitude,rating,review_count,price
6xb9LRGg_ebdBGIqfYTAfQ,27299.285195619665,36.66706,-78.38898,3.5,4,$
y0xdDapUAuEmSl02wlGdKA,10937.758710925862,36.621641,-78.565723,3.0,5,$
Af9-IZ31Ne_27Och06raAg,24066.520304994552,36.6875819,-78.897639,4.0,20,$$
1smkHRonCpKIHUaX2qImew,25432.80288378612,36.7007578164339,-78.9040580391884,4.0,18,$
ezmPacWBVpVty23hEzKeCg,23736.756781669552,36.688212454319,-78.8920410722494,3.5,11,$
MmmOGiE5-ffVP9uVsmn0AQ,4778.693725777931,36.579382,-78.117777,3.0,12,$
J0-5Eq1M9QX24jOM_LOZDA,3664.6421397682348,36.6005825,-78.1514218,4.0,3,$
WA5c3d6rhjioD3Ri4nCX1A,3674.825345505314,36.5977044409962,-78.1475605017334,4.0,3,$
I3m11vsPjbdEoP6x4-4ZeQ,17132.694977744595,36.6855771839619,-77.5430830568075,4.5,42,$
mxpNYcv7sN5V3El3O9ZJPA,15063.318541275894,36.6676641,-77.5524852,4.0,24,$$
4-D2agDScguA5b_puBEx_g,16384.635023786304,36.560516,-77.8530945,4.0,20,$$
h85qx9-TOIaCiUuavUBMPw,18470.417429652505,36.7028261045177,-77.5456960357513,4.5,50,$$
F4Rfxv6uSUtcCET2e-cPjA,18060.433504079283,36.69254,-77.53719,5.0,1,$
Sxg2Hh1iRQMrty14yEj_Pg,18148.86569782235,36.7038382,-77.5530225,4.0,37,$$
jw9DUvaJWQ9jNhuu-LiHfw,26145.980648260702,36.7544089,-77.8518641,4.0,6,$
R0ap6YINfwVg9f92KEWgCg,18260.56913299892,36.7046768,-77.5528898,3.5,14,$
PpAOTOj6A27Z-WckZI9t2A,10314.156856512758,36.604788,-77.562911,5.0,5,$
dnEdQuIHuCn6ZUDUlMwtqw,33175.058719862805,36.5696475,-78.0414844,3.0,9,$$
aKasiVBxYguXxQatGaS-4g,18259.542061174467,36.70423,-77.55215,2.5,29,$$
m060uNWcEWhYidkXM4Kxtg,15363.537045562734,36.7055999,-77.20338,4.5,6,$
ieX2d-FSINkzvmEsztNpdg,21968.904487871383,36.6687356467059,-76.9567837575344,4.5,28,$$
gsK0G543uWU1sKZ4qZtY5g,25125.439289524722,36.67399,-76.92922,5.0,10,$
Ldw0cIbMwuiTp4gvA8HRsg,18435.655466537533,36.7098198,-77.0570297,4.0,3,$
GjU-Cv7BrBh_GTPsoNCESQ,22417.719455670853,36.6676019,-76.950075,3.0,16,$$
H0teNVJnKTPwLWVKQTVqNA,18375.729943342176,36.702989,-77.047746,4.0,7,$
kZFAAMyHDPgwVNR9WXo9Ow,23185.188936972972,36.6716593,-76.9431766,4.0,24,$$
NZVdTpWc5jQnVe-Yu3jdlA,25108.01936061895,36.6770073,-76.9221531,3.5,12,$$
krE40X8cRsv95Olg_8Iq3Q,26714.855764822423,36.6862602,-76.9079971,3.0,10,$$
j829YRGPbIaKOWKG_5qJtg,22473.96614322725,36.669286,-76.950659,2.5,9,$$
VLXxcMA_kFJUFWY8g3R8Ug,25122.27512129222,36.6791612230577,-76.923528021603,2.0,4,$$$
eLrIkLsWdhfz7bZAZOeWHg,19273.155658424253,36.7286554,-76.5830097,4.5,181,$$$
3ZoSslG6YSXY0EtCyS9E6Q,2484.9158673568645,36.58902,-76.68461,4.0,12,$
558jnR-tWeynKYYl_gj7FA,27091.396344997018,36.8071399,-76.73981,4.0,9,$
YdOq2KDEO-P4qZVdwbbzWA,19253.930988342036,36.7276237179396,-76.5806632116437,4.5,17,$$
LBNmbcat4JtitKCt9oeVgQ,19252.024220176823,36.7285899,-76.58338,3.5,169,$$
YOIVSt4A1Eyi5EzD3EbEpQ,19984.15869693472,36.73509,-76.58167,4.0,11,$
krV1Ecz7amxVq5CKkawBvA,19234.828925653794,36.72851,-76.58365,5.0,20,$$
bDlJxwW9I9QIjRgGyqXObA,19419.410457568487,36.7297873646021,-76.5826336294413,3.5,53,$$
1PjClKHsl3BYisHpnhNk8w,18424.566940777902,36.7299995,-76.6163025,3.5,25,$$
erv8qSF_RV_o-J13kt8UMg,23538.452680628903,36.7707061767578,-76.5861511230469,4.0,39,$
yBsN47_8twZ-cEy-pUldWg,23479.775453357262,36.76936,-76.5836,3.0,25,$$
lQmNwqVZAzbI2focT4dCXg,23537.622160068255,36.7706033172244,-76.5857507969946,4.5,30,$$
3X8cXSIgsb22CbbgfA1XHw,39318.38677301277,36.872029,-76.440599,4.0,117,$
h21fEKdOJE2BjESQ2pFSRA,16034.168743046383,36.7141988781271,-76.6698928301403,4.0,1,$$
lfr3pslCtJWxw42T4c-PSg,19193.37445701736,36.72749,-76.58198,4.0,98,$$
y1dl2e7HXm0LDvP2OIlPPg,21383.395929681123,36.748266,-76.580085,3.5,64,$$
A0X_WEdaR254PZhMN_kACA,17417.09856737409,36.72374,-76.63564,3.5,24,$$
SRXZ9Z72cn9WO5OJ83YQEQ,24313.12614402156,36.7677689,-76.5548782,3.0,23,$$
JV8lmsJGkqOS1FaSlqhPmA,7772.856342720413,36.63315,-76.20817,3.5,16,$
pQUOoXgD1khyRBJUrufptQ,26834.938695382767,36.6972732543945,-75.9254531860352,3.5,18,$$
U2thl5zcSp4zMlNULAOa5Q,32870.1371824995,36.6070666881046,-76.035253711261,4.0,20,$$
BvN0Ju9BKgq0L6igc-L_Rw,36664.77565737386,36.75747,-76.0079,5.0,442,$$
4hf07U0QjTZU4xzuOcAjlw,32157.620542363587,36.60502,-76.0276,3.5,16,$
OMLBYq_2oRfBqFRmo_Ru4Q,31295.219800532257,36.7445166,-75.9452435,4.0,42,$$
TRyUA0sIuvFHfx8ytMzdDg,39730.270971108715,36.83371550133,-75.970691289146,4.0,1479,$$
egu3rUT69g7IHA8CmMqgpg,26940.68824162639,36.69699,-75.92734,3.0,110,$$
T0HLJEb-YscsrrTSY7UXPQ,32388.831743166767,36.71019,-75.98863,4.0,173,$$
JzFTN_GJMhuglFdUMPARIA,35395.98504845138,36.7228,-76.01835,5.0,7,$$
uZAt6yYu-06x5vl7W3z9gw,41977.13743388149,36.85597,-75.9776,4.5,33,$$
GKr9SHp2j7-jOwhyMkprxQ,37795.40552550983,36.76776,-76.01541,4.5,62,$$
6IlkjciC8xUlJ_Zrv_DncA,35399.46625632744,36.72214,-76.01859,4.5,385,$$
AcFES088LElUUJY7Kd8mlg,33099.98400369679,36.73099,-75.98202,4.0,279,$$
ie4pb-w2ktuPAFOgramObg,41386.7637089552,36.8500082180421,-75.9758761733289,4.5,757,$$
HChsN2Dj4sv9vjojBPtnLw,26957.26554455071,36.6969909667969,-75.9273452758789,5.0,10,$
zEyrpk6EEweX-C4TaNo5MA,42538.46318946602,36.8592233872076,-75.9823679924011,4.5,301,$$$
